skirmish	"소규모 접전, 작은 충돌"
irreparably	"돌이킬 수 없을 만큼, 회복할 수 없을 정도로"
heyday	전성기
nostalgia	향수
inscrutable	"불가해한, 헤아리기 어려운"
evanescent	"쉬이 사라지는, 덧없는, 무상한"
lightning-in-a-bottle	"불가능한 일, 대단한 성취"
vested in	부여된
exert	"가하다, 있는 힘껏 노력하다"
entice	"유도하다, 유인하다"
in place of	~을 대신해서
result in something	"(결과적으로) ~을 낳다, ~을 야기하다, 그 결과 ~가 되다"
dissertation	"(특히 대학 학위)논문, thesis"
inherent	"내재하는, 고유한"
wryly	"냉담하게, 비꼬는 투로"
contrivance	"억지로 짜 맞춘 것, 부자연스러움, 장치, 재간"
intellectual	"지식인, 지적인"
under the guise of	"~을 가장하여, ~을 구실로"
amity	"우호, 친선"
even-tempered	"(성격이)침착한, 차분한"
short-tempered	"성급한, 성 잘 내는, 성마른"
impetuous	"성급한, 충동적인"
myopic	"근시의, 근시안적인[?ma?|
?:p?k?]"
sovereignty	"통치권, 자주권, 자주 [|
s?ːvr?nti]"
despicable	"비열한, 야비한"
horoscope	"점성술, 별점"
enmity	"원한, 증오, 적대감"
partake	"먹다, 마시다, 참석하다"
genealogy	"가계도, 계보학, 족보학[ ?d?iːni?æl?d?i ]"
credo	신조
loafer	"빈둥거리며 시간을 보내는 사람, 가죽신"
courteous	"공손한, 정중한"
sow	"씨를 뿌리다, 심다"
practitioner	"(전문직 종사자 특히) 의사, 변호사"
rough-and-ready	"급조한, 임시변통, 세련되지 않고 거친"
stray	"제 위치를 벗어나다, 옆길로 새다"
sheer	"순전한, 순수한"
prevalence	"널리 퍼짐, 유행"
unscrupulous	"부도덕한, 사악한"
tribalism	"부족 중심주의, 부족 제도"
tramp	"부랑자, 떠돌이, 터벅터벅 걷다"
transgression	"위반, 범죄 , 죄"
honoree	"수상자, 수상작"
atrocious	"형편없는, 끔찍한, 극악무도한"
oblivious	의식하지 못하는
attention hog	관종
be a reflection on	~의 불명예가 되다
equity	"공정, 공평, (회사의)자기 자본, 순수가치"
replenish	"다시 채우다, 보충하다"
overhaul	"점검, 정비, 점검하다"
validation	"확인, 비준"
debilitating	쇠약하게 하는
scathing	"통렬한, 가차 없는"
no good deed goes unpunished	좋은 일을 해도 인정받지 못하고 오히려 벌을 받는 경우도 있다
adage	"속담, 격언"
grapple with	~을 해결하려고 노력하다
psychedelic	"환각제의, 환각을 일으키는"
scanty	"몸을 가린 듯 만 듯한, 빈약한"
scantily	"부족한, 모자라는"
to the fullest	"최대한으로, 완전하게"
equate	동일시하다
premarital	혼전의
avert	"방지하다, 피하다, 눈을 돌리다"
reminisce	"추억에 잠기다, 추억담을 나누다"
prodigal	"방탕한, 낭비하는"
alma mater	모교
edify	"고양시키다, 교화시키다"
indefatigable	"포기할 줄 모르는, 지칠 줄 모르는"
antagonism	"적의, 적대감"
valiant	"용감한, 용맹한, 단호한"
