furious  몹시 화난
irate  격분한
enraged  격노한
infuriated  격분한
mad  화난 (비격식)
outraged  분노한
incensed  격노한
exasperated  몹시 짜증난
fuming  속이 부글부글 끓는
wrathful  분노에 찬
annoyed  짜증난
peeved  약간 화가 난 (비격식)
cross  짜증난 (주로 영국식 표현)
choleric  화를 잘 내는, 성마른
upset  속상한, 화난
resentful  분개한
miffed  약간 화가 난 (비격식)
riled up  몹시 화가 난
pissed off  화가 난 (비격식, 주로 구어)
hot under the collar  화가 난 (관용 표현)
aggravated  더욱 화가 난
irritated  짜증이 난, 신경이 곤두선
vindictive  복수심에 찬 (화난 감정이 지속될 때)
agitated  동요된, 흥분된 (화가 섞인 불안)
seething  속이 부글부글 끓는
outrageous  터무니없는, 분노를 일으키는
provoked  자극을 받아 화가 난
bitter  씁쓸하고 화가 난
displeased  불쾌한, 기분이 상한
rancorous  원한을 품은, 깊은 분노가 깃든
apoplectic  (몹시 화가 나서) 졸도할 듯한
rabid  극단적으로 화난 (혹은 격렬한)
stormy  격렬한 감정이 넘치는
