가담항설(街談巷說)	거리에 떠도는 소문.
각골난망(刻骨難忘)	남에게 입은 은혜가 커서 뼈에 새길 정도로 잊히지 않음.
각주구검(刻舟求劍)	배를 타고 가다가 칼을 떨어뜨렸는데, 배가 나루터에 도착하자 나루터에서 칼을 찾았다는 뜻으로, 어리석고 미련하여 융통성이 없음을 비유하는 말.
간담상조(肝膽相照)	서로 간과 쓸개를 보여주는 듯이 속마음을 털어놓고 친하게 사귐.
감언이설(甘言利說)	귀가 솔깃하고 이로워보이는 말.
감탄고토(甘呑苦吐)	달면 삼키고 쓰면 뱉음.
갑남을녀(甲男乙女)	갑이란 남자와 을이란 여자로, 평범한 사람들을 이르는 말. (=필부필부[匹夫匹婦], 장삼이사[張三李四])
개과천선(改過遷善)	지난날의 잘못을 고쳐 착하게 됨.
거두절미(去頭截尾)	머리와 꼬리를 잘라냄. 중요하지 않은 부분을 생략함.
견강부회(牽强附會)	이치에 맞지 않는 말을 억지로 끌어붙임.
견리사의(見利思義)	눈앞의 이익을 보더라도 의리를 먼저 생각함.
결자해지(結者解之)	맺은 사람이 그것을 풀음. 자신이 행한 일은 자신이 해결함.
결초보은(結草報恩)	죽은 뒤에도 은혜를 잊지 않고 갚음.
고장난명(孤掌難鳴)	손바닥 하나로는 소리를 낼 수 없음. (혼자보다는 협력이 나음.)
고진감래(苦盡甘來)	고난이 끝나면 반드시 좋은 일이 온다는 뜻으로, 어려움을 이겨내면 좋은 결과가 있을 것이라는 말.
고진감래(苦盡甘來)	괴로움이 다하면 달콤함이 온다는 뜻으로 고생 끝에 낙이 온다는 말
과유불급(過猶不及)	정도가 지나친 것은 부족한 것보다 못하다는 말
관포지교(管鮑之交)	관중과 포숙의 사귐. 돈독한 우정.
괄목상대(刮目相對)	남의 학식이나 재주가 눈을 비비고 볼 정도로 많이 늘음.
교각살우(矯角殺牛)	소 뿔을 고치려가 소를 죽임. 잘못된 점을 고치려다 오히려 일을 그르침.
구밀복검(口蜜腹劍)	말로는 친하지만 속으로는 해칠 생각이 있음.
구사일생(九死一生)	아홉 번 죽을 뻔하다 한 번 살아난다는 뜻으로 죽을 고비를 여러 번 넘기고 간신히 목숨을 건진다는 말
구슬이 서말이라도 꿰어야 보배	아무리 좋은 재주나 지식도 활용하지 않으면 소용이 없다는 말.
구우일모(九牛一毛)	아홉 마리의 소 가운데 박인 하나의 털. 극히 적은 수.
군계일학(群鷄一鶴)	닭 떼 속에 오리 한 마리라는 뜻으로, 무리 속에서 남다른 뛰어난 사람을 비유하는 말.
권선징악(勸善懲惡)	착한 일을 권하고 악한 일을 벌함.
극기복례(克己復禮)	스스로를 이기고 예의범절로 돌아감.
근묵자흑(近墨者黑)	먹을 가까이하면 검어진다는 뜻으로 좋지 못한 사람과 가까이 지내면 나쁜 것에 물들게 된다는 말
금강불괴(金剛不壞)	금강석과 같이 부서지지 않는 것을 비유하는 말로, 매우 강하고 견고한 것을 의미함.
금상첨화(錦上添花)	좋은 일위에 좋은 일이 더해짐.
금지옥엽(金枝玉葉)	금으로 된 가지와 옥으로 된 잎. 왕족을 이르는 말.
기승전결(起承轉結)	글이나 이야기의 구성 방식으로, 서론(起), 전개(承), 전환(轉), 결론(結)으로 나누는 것을 말함.
난형난제(難兄難弟)	둘이 비슷하여 비교하기 어려움.
남원북철(南轅北轍)	수레의 손잡이는 남쪽을 향하고 바퀴는 북쪽으로 간다는 뜻으로, 마음과 행동이 모순되는 것을 비유하는 말.
내유외강(內柔外剛)	겉으로 보기에는 강하지만 속은 부드러움.
네 발로 뛰다	매우 바쁘게 움직이다.
노심초사(勞心焦思)	마음을 쓰며 애를 태움.
능소화	능소나무에 피는 꽃이라는 뜻으로, 겉으로 보기에는 아무것도 아니지만 실은 뛰어난 재주나 능력을 가진 사람을 비유하는 말.
다다익선(多多益善)	많으면 많을수록 더욱 좋다는 말
다윗과 골리앗	힘이 약한 사람이 힘이 강한 사람을 이기는 것을 비유하는 말.
당구풍월(堂狗風月)	서당개가 풍월을 읊음. 아무리 지식이 없는 사람이라도 그 분야에 오래 있으면 지식을 가지게 됨.
당랑거철(螳螂拒轍)	자신에게 강한 상대라도 무모하게 막아섬.
