shore  해변
cabin  선실
deck  갑판
rudder  키, 방향타
sulk  뿌루뚱하다, 쌜쭉하다
anchor  닻
lighthouse  등대
past  지나서  (전치사)
supper  저녁(dinner보다 간단한) 
The Last Supper  마지막만찬
tickle  간지럽히다
silly  어리석은  =foolish=ridiculous
tip  기울다
paddle  노
steer  조정하다
steering wheel  핸들
overboard  배밖으로, 물속으로
rubber-ring  고무튜브
It's on the tip of my tongue  생각이 날 듯 말 듯한데
after that  그 후
after all  결국
creep  살살기어가다  creep-crept-crept
den  소굴
swop  바꾸다
spade  삽
crook  사기꾼
peep  훔쳐보다
grab  붙잡다
puff  내뿜다, 뻐끔뻐끔 피우다
creep  살금살금 움직이다, 너무 싫은사람, 아첨꾼
worn out  매우 지친, 닳아서 못쓰게 된
yell  소리치다
bang  쾅하고 치다, 쾅쾅치다
take one's mind off  ~에서 마음을 돌리다, ~을 잊다
knock down  때려 부수다
burp  트림하다
duke  군주
pendulum  (시계의)추
parcel  소포
whirlwind  회오리바람
broke  무일푼의
crawl  기다
pretend  ~인 척하다, 가짜의
stethoscope  청진기
surgery  수술
be covered in  ~로 덮히다
bandage  붕대, 붕대를 감다
run off  도망가다
be told  지시를 받다, 분부를 받다, 명을 받다
