맘대로해!  Suit yourself!
기분 나쁘게 듣지 마.  No offense.
가는 중이야.  I'm on my way.
막 떠나려던 참이야.  I am about to leave.
마음껏 드세요.  Help yourself.
꺼져!  Get lost!
말조심해!  Watch your mouth!
너가 자초한 일이야.(당해도 싸)  You had it coming.
이게 누구야!  Look who's here!
속지마!  Don't fall for it!
잘했어!  You did a good job! (=Good job!)
동감이야.(나도 마찬가지야.)  That makes two of us.
수고하세요.  Keep up the good work.
너에게 달렸어.(네가 결정해)  It's up to you.
소문 참 빠르네요.  Word travels fast.
내 입장이 되어봐.  Put yourself in my shoes.
뭐라고요?  Come again?
진심이야.  I mean it.
나도 끼워줘.  Count me in.
연락할게.  I'll be in touch.
안 믿어.  I don't buy it.
내 잘못이야.  My bad.
무슨 속셈이야?(무슨 꿍꿍이야?)  What's the catch?
오늘은 여기까지 하자.  Let's call it a day.
다음으로 미뤄도 될까?  Can I take a rain check.
가능성이 적어.  It's a long shot.
